Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FGp,3P,3PA,threePp,2P,2PA,twoPp,eFG%,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Russell Westbrook,90,"$38,506,482",PG,31,HOU,53,53,35.9,10.7,22.6,.474,1.0,3.8,.254,9.8,18.8,.518,.495,5.1,6.5,.777,1.8,6.3,8.0,7.0,1.7,0.3,4.5,3.5,27.5
Karl-Anthony Towns,89,"$27,285,000",C,24,MIN,35,35,33.9,9.0,17.8,.508,3.3,7.9,.412,5.8,9.9,.586,.600,5.1,6.5,.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5
Jimmy Butler,88,"$32,742,000",SF,30,MIA,54,54,34.3,6.1,13.4,.454,0.5,2.2,.248,5.5,11.2,.494,.474,7.6,9.1,.833,1.8,4.8,6.6,6.1,1.7,0.5,2.2,1.4,20.2
Rudy Gobert,88,"$25,258,427",C,27,UTA,62,62,34.5,5.7,8.2,.698,0.0,0.0,,5.7,8.2,.698,.698,3.7,5.9,.621,3.4,10.3,13.7,1.5,0.8,2.0,1.9,3.2,15.1
Blake Griffin,88,"$34,449,964",PF,30,DET,18,18,28.4,4.9,13.9,.352,1.5,6.2,.243,3.4,7.7,.439,.406,4.2,5.4,.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
Donovan Mitchell,88,"$3,635,760",SG,23,UTA,63,63,34.4,8.9,19.6,.453,2.5,6.8,.364,6.4,12.8,.501,.517,4.0,4.6,.859,0.7,3.7,4.4,4.2,1.0,0.2,2.7,2.4,24.2
Kemba Walker,88,"$32,742,000",PG,29,BOS,50,50,31.8,7.0,16.6,.421,3.3,8.8,.377,3.7,7.9,.470,.520,3.9,4.5,.867,0.7,3.4,4.1,4.9,0.9,0.5,2.1,1.5,21.2
LaMarcus Aldridge,87,"$26,000,000",C,34,SAS,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
Bradley Beal,87,"$27,093,018",SG,26,WAS,57,57,36.0,10.4,22.9,.455,3.0,8.4,.353,7.4,14.4,.515,.520,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
Mike Conley,87,"$32,511,623",PG,32,UTA,41,35,28.6,4.8,11.9,.405,2.0,5.2,.376,2.9,6.7,.429,.488,2.3,2.9,.795,0.7,2.6,3.2,4.3,0.8,0.1,1.9,2.2,13.8
